short_text,link,location
Bollywood,https://indianexpress.com/section/entertainment/bollywood/,N/A
Hollywood,https://indianexpress.com/section/entertainment/hollywood/,N/A
Television,https://indianexpress.com/section/entertainment/television/,N/A
Tamil,https://indianexpress.com/section/entertainment/tamil/,N/A
Telugu,https://indianexpress.com/section/entertainment/telugu/,N/A
Malayalam,https://indianexpress.com/section/entertainment/malayalam/,N/A
Regional,https://indianexpress.com/section/entertainment/regional/,N/A
Web Stories,https://indianexpress.com/web-stories/,N/A
Movie Review,https://indianexpress.com/section/entertainment/movie-review/,N/A
Cricket,https://indianexpress.com/section/sports/cricket/,N/A
IPL 2026,https://indianexpress.com/section/sports/ipl/,N/A
Live Score,https://indianexpress.com/section/sports/cricket/live-score/,N/A
Chess,https://indianexpress.com/section/sports/chess/,N/A
Football,https://indianexpress.com/section/sports/football/,N/A
N/A,https://indianexpress.com/section/cities/delhi/,Delhi
N/A,https://indianexpress.com/section/cities/mumbai/,Mumbai
N/A,https://indianexpress.com/section/cities/kolkata/,Kolkata
N/A,https://indianexpress.com/section/cities/pune/,Pune
Chandigarh,https://indianexpress.com/section/cities/chandigarh/,N/A
Ahmedabad,https://indianexpress.com/section/cities/ahmedabad/,N/A
Lucknow,https://indianexpress.com/section/cities/lucknow/,N/A
N/A,https://indianexpress.com/section/cities/chennai/,Chennai
N/A,https://indianexpress.com/section/cities/hyderabad/,Hyderabad
N/A,https://indianexpress.com/section/cities/bangalore/,Bangalore
The GenZ vibe,https://indianexpress.com/about/what-is-the-vibe/,N/A
Health,https://indianexpress.com/section/lifestyle/health/,N/A
Food,https://indianexpress.com/section/lifestyle/food-wine/,N/A
Fitness,https://indianexpress.com/section/lifestyle/fitness/,N/A
Sleep 101,https://indianexpress.com/about/sleep-101/,N/A
Pets,https://indianexpress.com/section/lifestyle/pets-animals/,N/A
Relationships,https://indianexpress.com/section/lifestyle/feelings/,N/A
Travel,https://indianexpress.com/section/lifestyle/destination-of-the-week/,N/A
Workplace,https://indianexpress.com/section/lifestyle/workplace/,N/A
Fashion,https://indianexpress.com/section/lifestyle/fashion/,N/A
Art,https://indianexpress.com/section/lifestyle/art-and-culture/,N/A
